"Name" "MC" "MP"
"Bitcoin" "1,375,747,116,601" "55%"
"Ethereum" "451,994,509,854" "18%"
"Tether" "111,353,339,424" "4%"
"BNB" "91,639,325,753" "4%"
"Solana" "80,874,843,487" "3%"
"USDC" "33,090,020,622" "1%"
"XRP" "29,496,027,811" "1%"
"Dogecoin" "24,290,733,219" "1%"
"Toncoin" "21,764,308,028" "1%"
"Cardano" "17,412,967,548" "1%"
"Avalanche" "16,221,937,655" "1%"
"Shiba Inu" "15,196,655,506" "1%"
"Polkadot" "10,863,732,226" "0%"
"TRON" "10,782,572,946" "0%"
"Bitcoin Cash" "10,025,377,337" "0%"
"Chainlink" "9,740,674,446" "0%"
"NEAR Protocol" "8,504,954,140" "0%"
"Polygon" "7,173,957,815" "0%"
"Litecoin" "6,483,764,375" "0%"
"Internet Computer" "6,100,327,189" "0%"
"Uniswap" "5,738,548,194" "0%"
"Pepe" "5,723,281,500" "0%"
"UNUS SED LEO" "5,549,904,404" "0%"
"Dai" "5,347,139,493" "0%"
"Ethereum Classic" "4,564,915,068" "0%"
"Render" "4,328,432,545" "0%"
"Hedera" "4,085,862,018" "0%"
"Aptos" "4,002,058,693" "0%"
"Immutable" "3,698,825,958" "0%"
"Mantle" "3,475,101,726" "0%"
"Filecoin" "3,421,476,117" "0%"
"First Digital USD" "3,410,055,489" "0%"
"Cosmos" "3,388,767,829" "0%"
"Cronos" "3,351,743,807" "0%"
"Stellar" "3,239,587,831" "0%"
"The Graph" "3,196,664,153" "0%"
"Arbitrum" "3,127,216,049" "0%"
"Kaspa" "3,117,605,729" "0%"
"Stacks" "3,093,681,433" "0%"
"OKB" "3,031,478,093" "0%"
"Optimism" "3,005,105,809" "0%"
"Arweave" "2,978,587,314" "0%"
"Bittensor" "2,885,081,613" "0%"
"Maker" "2,800,474,818" "0%"
"dogwifhat" "2,771,193,567" "0%"
"Sui" "2,638,825,910" "0%"
"VeChain" "2,627,513,781" "0%"
"Injective" "2,557,914,999" "0%"
"Monero" "2,546,222,313" "0%"
"Theta Network" "2,493,765,470" "0%"
"Fantom" "2,418,212,334" "0%"
"FLOKI" "2,253,228,693" "0%"
"THORChain" "2,236,554,860" "0%"
"Fetch.ai" "2,148,452,636" "0%"
"Bonk" "2,025,844,798" "0%"
"Lido DAO" "1,941,478,912" "0%"
"Celestia" "1,750,274,509" "0%"
"Pyth Network" "1,697,146,900" "0%"
"Sei" "1,635,336,049" "0%"
"Jupiter" "1,631,604,511" "0%"
"Gala" "1,623,148,538" "0%"
"Core" "1,599,260,631" "0%"
"Bitget Token" "1,584,457,103" "0%"
"Algorand" "1,524,145,742" "0%"
"Flow" "1,435,422,697" "0%"
"Aave" "1,431,065,605" "0%"
"Starknet" "1,408,218,922" "0%"
"Beam" "1,394,190,068" "0%"
"SingularityNET" "1,365,198,051" "0%"
"Akash Network" "1,360,731,686" "0%"
"Bitcoin SV" "1,331,226,656" "0%"
"Ethena" "1,290,057,722" "0%"
"Ondo" "1,286,597,702" "0%"
"BitTorrent (New)" "1,206,580,890" "0%"
"Quant" "1,199,122,188" "0%"
"dYdX (Native)" "1,179,528,408" "0%"
"Flare" "1,178,612,354" "0%"
"Axie Infinity" "1,128,858,355" "0%"
"Neo" "1,121,133,001" "0%"
"Chiliz" "1,106,771,285" "0%"
"Worldcoin" "1,088,246,082" "0%"
"MultiversX" "1,088,165,796" "0%"
"The Sandbox" "1,051,927,637" "0%"
"Ronin" "1,025,850,741" "0%"
"Wormhole" "1,015,646,714" "0%"
"eCash" "1,013,157,681" "0%"
"JasmyCoin" "1,007,961,412" "0%"
"KuCoin Token" "975,278,621" "0%"
"Tezos" "973,070,517" "0%"
"EOS" "961,130,898" "0%"
"Conflux" "958,976,032" "0%"
"Pendle" "952,196,521" "0%"
"AIOZ Network" "950,055,742" "0%"
"Synthetix" "947,094,878" "0%"
"Mina" "916,756,579" "0%"
"ORDI" "903,237,238" "0%"
"Decentraland" "892,877,702" "0%"
"BOOK OF MEME" "866,856,467" "0%"
"Gnosis" "859,023,605" "0%"
"Nexo" "802,046,791" "0%"
