"Name" "MC" "MP"
"Bitcoin" "1,376,937,018,512" "55%"
"Ethereum" "451,994,509,854" "18%"
"Tether" "111,357,711,989" "4%"
"BNB" "91,685,312,721" "4%"
"Solana" "80,874,843,487" "3%"
"USDC" "33,090,020,622" "1%"
"XRP" "29,493,756,983" "1%"
"Dogecoin" "24,258,590,491" "1%"
"Toncoin" "21,764,308,028" "1%"
"Cardano" "17,434,375,980" "1%"
"Avalanche" "16,221,937,655" "1%"
"Shiba Inu" "15,189,460,451" "1%"
"Polkadot" "10,871,734,639" "0%"
"TRON" "10,777,164,201" "0%"
"Bitcoin Cash" "10,025,377,337" "0%"
"Chainlink" "9,753,393,555" "0%"
"NEAR Protocol" "8,504,954,140" "0%"
"Polygon" "7,173,957,815" "0%"
"Litecoin" "6,483,764,375" "0%"
"Internet Computer" "6,100,327,189" "0%"
"Uniswap" "5,733,894,469" "0%"
"Pepe" "5,715,149,100" "0%"
"UNUS SED LEO" "5,549,904,404" "0%"
"Dai" "5,347,224,131" "0%"
"Ethereum Classic" "4,564,915,068" "0%"
"Render" "4,314,125,041" "0%"
"Hedera" "4,085,862,018" "0%"
"Aptos" "4,002,058,693" "0%"
"Immutable" "3,711,523,048" "0%"
"Mantle" "3,475,101,726" "0%"
"Filecoin" "3,425,934,549" "0%"
"First Digital USD" "3,410,055,489" "0%"
"Cosmos" "3,388,767,829" "0%"
"Cronos" "3,351,013,446" "0%"
"Stellar" "3,239,587,831" "0%"
"The Graph" "3,198,044,265" "0%"
"Arbitrum" "3,125,718,159" "0%"
"Kaspa" "3,121,442,625" "0%"
"Stacks" "3,093,681,433" "0%"
"Optimism" "3,010,331,642" "0%"
"OKB" "3,014,762,606" "0%"
"Arweave" "2,977,954,899" "0%"
"Bittensor" "2,885,081,613" "0%"
"Maker" "2,800,474,818" "0%"
"dogwifhat" "2,771,193,567" "0%"
"Sui" "2,638,825,910" "0%"
"VeChain" "2,627,513,781" "0%"
"Injective" "2,563,438,407" "0%"
"Monero" "2,526,240,531" "0%"
"Theta Network" "2,493,765,470" "0%"
"Fantom" "2,422,501,404" "0%"
"FLOKI" "2,253,228,693" "0%"
"THORChain" "2,236,554,860" "0%"
"Fetch.ai" "2,148,452,636" "0%"
"Bonk" "2,025,844,798" "0%"
"Lido DAO" "1,940,402,616" "0%"
"Celestia" "1,756,541,736" "0%"
"Pyth Network" "1,697,516,878" "0%"
"Sei" "1,633,111,618" "0%"
"Jupiter" "1,641,634,515" "0%"
"Gala" "1,623,148,538" "0%"
"Core" "1,599,260,631" "0%"
"Bitget Token" "1,584,089,898" "0%"
"Algorand" "1,524,982,493" "0%"
"Flow" "1,435,422,697" "0%"
"Aave" "1,431,065,605" "0%"
"Starknet" "1,408,218,922" "0%"
"Beam" "1,397,486,471" "0%"
"SingularityNET" "1,359,486,593" "0%"
"Akash Network" "1,359,799,959" "0%"
"Bitcoin SV" "1,333,216,740" "0%"
"Ethena" "1,290,057,722" "0%"
"Ondo" "1,287,086,789" "0%"
"BitTorrent (New)" "1,207,973,500" "0%"
"Quant" "1,199,122,188" "0%"
"dYdX (Native)" "1,179,528,408" "0%"
"Flare" "1,180,183,184" "0%"
"Axie Infinity" "1,128,858,355" "0%"
"Neo" "1,121,958,567" "0%"
"Chiliz" "1,108,805,894" "0%"
"MultiversX" "1,088,587,847" "0%"
"Worldcoin" "1,085,938,540" "0%"
"The Sandbox" "1,051,927,637" "0%"
"Ronin" "1,025,850,741" "0%"
"Wormhole" "1,015,646,714" "0%"
"eCash" "1,013,157,681" "0%"
"JasmyCoin" "1,007,961,412" "0%"
"KuCoin Token" "975,713,038" "0%"
"Tezos" "974,468,965" "0%"
"EOS" "963,524,454" "0%"
"Conflux" "961,847,555" "0%"
"Pendle" "952,196,521" "0%"
"AIOZ Network" "950,055,742" "0%"
"Synthetix" "947,094,878" "0%"
"Mina" "916,756,579" "0%"
"ORDI" "903,237,238" "0%"
"Decentraland" "893,778,567" "0%"
"BOOK OF MEME" "866,551,968" "0%"
"Gnosis" "859,023,605" "0%"
"Nexo" "802,396,567" "0%"
