"Name" "MC" "MP"
"Bitcoin" "1,334,069,665,451" "54%"
"Ethereum" "459,594,200,951" "19%"
"Tether" "111,853,540,997" "5%"
"BNB" "88,335,418,736" "4%"
"Solana" "74,866,809,764" "3%"
"USDC" "32,495,647,549" "1%"
"XRP" "29,246,141,389" "1%"
"Dogecoin" "23,555,547,846" "1%"
"Toncoin" "22,355,180,633" "1%"
"Cardano" "16,272,767,181" "1%"
"Shiba Inu" "15,286,012,370" "1%"
"Avalanche" "14,447,090,657" "1%"
"Chainlink" "10,650,153,001" "0%"
"Polkadot" "10,559,597,166" "0%"
"TRON" "9,708,964,183" "0%"
"Bitcoin Cash" "9,142,883,774" "0%"
"NEAR Protocol" "8,173,800,009" "0%"
"Polygon" "7,213,225,604" "0%"
"Pepe" "6,726,472,693" "0%"
"Uniswap" "6,515,908,111" "0%"
"Litecoin" "6,168,063,484" "0%"
"Internet Computer" "5,580,152,625" "0%"
"UNUS SED LEO" "5,535,041,639" "0%"
"Dai" "5,346,755,124" "0%"
"Ethereum Classic" "4,552,552,093" "0%"
"Aptos" "4,151,188,524" "0%"
"Render" "3,871,134,215" "0%"
"Hedera" "3,708,916,247" "0%"
"dogwifhat" "3,572,057,374" "0%"
"Arbitrum" "3,454,560,062" "0%"
"Immutable" "3,402,293,791" "0%"
"Cosmos" "3,360,180,743" "0%"
"Mantle" "3,312,939,028" "0%"
"Kaspa" "3,327,190,051" "0%"
"Filecoin" "3,267,034,393" "0%"
"Cronos" "3,120,546,516" "0%"
"Stellar" "3,119,819,086" "0%"
"First Digital USD" "2,991,208,844" "0%"
"The Graph" "2,952,233,067" "0%"
"Stacks" "2,873,510,957" "0%"
"Bittensor" "2,858,242,213" "0%"
"OKB" "2,818,772,987" "0%"
"FLOKI" "2,816,953,576" "0%"
"Bonk" "2,733,090,289" "0%"
"Optimism" "2,725,598,048" "0%"
"Monero" "2,602,131,116" "0%"
"VeChain" "2,585,276,439" "0%"
"Maker" "2,512,493,680" "0%"
"Arweave" "2,509,915,768" "0%"
"Sui" "2,418,336,319" "0%"
"Injective" "2,357,203,121" "0%"
"Theta Network" "2,261,966,383" "0%"
"Fantom" "2,256,220,473" "0%"
"THORChain" "2,225,628,000" "0%"
"Lido DAO" "2,121,116,386" "0%"
"Celestia" "2,059,071,040" "0%"
"Fetch.ai" "1,879,189,112" "0%"
"Core" "1,841,560,639" "0%"
"Bitget Token" "1,733,144,740" "0%"
"Ondo" "1,704,297,258" "0%"
"Pyth Network" "1,578,944,019" "0%"
"Sei" "1,571,165,473" "0%"
"Algorand" "1,559,523,155" "0%"
"Aave" "1,555,676,487" "0%"
"Jupiter" "1,548,915,954" "0%"
"Starknet" "1,407,351,784" "0%"
"Flow" "1,401,673,242" "0%"
"Beam" "1,398,147,311" "0%"
"Gala" "1,395,659,710" "0%"
"Ethena" "1,358,489,267" "0%"
"Chiliz" "1,300,568,219" "0%"
"JasmyCoin" "1,277,762,099" "0%"
"Akash Network" "1,242,264,196" "0%"
"Bitcoin SV" "1,228,316,306" "0%"
"SingularityNET" "1,186,242,000" "0%"
"dYdX (Native)" "1,158,871,145" "0%"
"BitTorrent (New)" "1,145,640,703" "0%"
"Flare" "1,111,645,961" "0%"
"Axie Infinity" "1,111,240,554" "0%"
"Quant" "1,094,907,722" "0%"
"Neo" "1,075,904,578" "0%"
"MultiversX" "1,056,702,386" "0%"
"Wormhole" "1,048,147,263" "0%"
"Worldcoin" "1,031,886,083" "0%"
"BOOK OF MEME" "1,025,576,922" "0%"
"Ronin" "1,020,581,267" "0%"
"The Sandbox" "1,001,699,275" "0%"
"KuCoin Token" "990,429,758" "0%"
"Synthetix" "980,236,971" "0%"
"Pendle" "983,444,278" "0%"
"Tezos" "947,974,476" "0%"
"eCash" "942,996,871" "0%"
"Mina" "926,031,465" "0%"
"Notcoin" "921,948,918" "0%"
"EOS" "907,386,802" "0%"
"Gnosis" "901,243,446" "0%"
"Conflux" "889,843,180" "0%"
"AIOZ Network" "863,405,855" "0%"
"Decentraland" "857,716,148" "0%"
"ORDI" "842,658,996" "0%"
